network,station,channel
SS,10891,DP2
SS,10406,DP1
SS,17878,DPZ
SS,09529,DP2
SS,10505,DPZ
SS,18340,DPZ
SS,09574,DPZ
SS,16490,DPZ
SS,14712,DPZ
SS,09637,DPZ
SS,09769,DP1
SS,15636,DP1
SS,10215,DPZ
SS,15730,DP2
SS,04548,DP2
SS,15636,DPZ
SS,10277,DP1
SS,10872,DP1
SS,06524,DP2
SS,17929,DPZ
SS,10915,DPZ
SS,16788,DPZ
SS,10705,DPZ
SS,10359,DP1
SS,09637,DP1
SS,09769,DP2
SS,17215,DP1
SS,09769,DPZ
SS,18463,DP1
SS,17130,DP1
SS,10820,DP2
SS,16878,DP1
SS,10800,DPZ
SS,07111,DP2
SS,10505,DP1
SS,10916,DP2
SS,15967,DP1
SS,15753,DP1
SS,04909,DP1
SS,10899,DPZ
SS,10190,DP1
SS,15672,DP1
SS,10845,DPZ
SS,19744,DP1
SS,10776,DP2
SS,10820,DP2
SS,10867,DPZ
SS,15249,DPZ
SS,15016,DP1
SS,09806,DP1
SS,17875,DPZ
SS,14457,DPZ
SS,17455,DP1
SS,18411,DP1
SS,10277,DPZ
SS,17456,DP1
SS,14837,DP2
SS,10177,DP2
SS,15255,DPZ
SS,10800,DP1
SS,18157,DP1
SS,16814,DPZ
SS,17930,DPZ
SS,05283,DPZ
SS,05441,DPZ
SS,10891,DP1
SS,10430,DP2
SS,10867,DP1
SS,14564,DPZ
SS,15729,DP1
SS,09218,DP2
SS,18340,DPZ
SS,16980,DP2
SS,15367,DPZ
SS,10721,DP1
SS,10857,DP2
SS,09769,DP1
SS,16684,DP1
SS,15730,DPZ
SS,10891,DPZ
SS,10800,DP2
SS,15288,DPZ
SS,15678,DP1
SS,17442,DPZ
SS,17858,DP1
SS,18895,DPZ
SS,18352,DP1
SS,10890,DPZ
SS,18340,DPZ
SS,17227,DP1
SS,17544,DP1
SS,10317,DP2
SS,17456,DPZ
SS,17273,DPZ
SS,10817,DP2
SS,10721,DP1
SS,10230,DPZ
SS,10430,DP2
SS,16507,DP1
SS,14605,DPZ
SS,10705,DPZ
SS,20247,DPZ
SS,09304,DP1
SS,05038,DP1
SS,14411,DP1
SS,07111,DP1
SS,10509,DP2
SS,10275,DP2
SS,14457,DP1
SS,09304,DP2
SS,17534,DPZ
SS,17024,DP2
SS,17542,DP2
SS,14411,DP2
SS,16980,DP2
SS,15350,DP2
SS,18340,DPZ
SS,14938,DPZ
SS,10202,DPZ
SS,09548,DP1
SS,08936,DP2
SS,05179,DP1
SS,17442,DPZ
SS,04548,DP1
SS,10190,DP2
SS,10740,DP2
SS,14411,DP1
SS,10317,DP1
SS,06585,DPZ
SS,10330,DP2
SS,09410,DP2
SS,10891,DPZ
SS,18272,DP2
SS,17016,DP1
SS,10586,DP2
SS,10304,DPZ
SS,17373,DP1
SS,15729,DP2
